id_reporte,fecha_reporte,indicador_interno,indicador_codigo,indicador,unidad,total,mujeres,hombres,ninas,ninos,discapacidad,tiene_desagregacion
844568470,2026-07-31,smaps_autoayuda,3.1.1,Número de personas con servicios de autoayuda y apoyo en la comunidad,Personas,1284,400,370,257,257,0,1
844568470,2026-07-31,smaps_pap,3.1.2,Número de personas alcanzadas con primeros auxilios psicológicos,Personas,130,68,62,0,0,0,1
844568470,2026-07-31,smaps_atencion_clinica,3.1.4,Número de personas alcanzadas con atención clínica en salud mental,Personas,118,73,45,0,0,0,1
844568470,2026-07-31,nt_diagnostico,3.2.1,Número de personas con enfermedades no transmisibles que recibieron diagnóstico,Personas,147,60,52,20,15,0,1
844568470,2026-07-31,nt_tratamiento,3.2.2,Número de personas con enfermedades no transmisibles que recibieron tratamiento,Personas,147,60,52,20,15,0,1
844568470,2026-07-31,trans_diagnostico,3.3.1,Número de personas con enfermedades transmisibles que recibieron diagnóstico,Personas,2,0,2,0,0,0,1
844568470,2026-07-31,trans_tratamiento,3.3.2,Número de personas con enfermedades transmisibles que recibieron tratamiento,Personas,2,0,2,0,0,0,1
844568470,2026-07-31,trans_medicamentos,3.3.3,Número de personas con enfermedades transmisibles que recibieron medicamentos,Personas,2,0,2,0,0,0,1
844568470,2026-07-31,3_8_2,3.8.2,Número de instituciones apoyadas en inmunización,Instituciones,1,0,0,0,0,0,0
844568470,2026-07-31,trauma_atendidas,3.9.1,Número de personas atendidas por lesiones y trauma,Personas,90,36,31,12,11,0,1
844568470,2026-07-31,3_11_3,3.11.3,Número de instituciones que recibieron donaciones de medicamentos,Instituciones,4,0,0,0,0,0,0
844568470,2026-07-31,3_11_5,3.11.5,"Número de instituciones apoyadas mediante acciones de agua, saneamiento e higiene",Instituciones,3,0,0,0,0,0,0
849309944,2026-07-31,trans_diagnostico,3.3.1,Número de personas con enfermedades transmisibles que recibieron diagnóstico,Personas,4,3,1,0,0,0,1
849309944,2026-07-31,vih_seguimiento,3.3.10,Número de personas con VIH/ITS que recibieron control y seguimiento médico,Personas,1,0,1,0,0,0,1
849309944,2026-07-31,vih_derivados,3.3.11,Número de casos derivados relacionados con VIH e ITS,Casos,1,0,1,0,0,0,1
849309944,2026-07-31,trans_derivados,3.3.6,Número de casos derivados por enfermedades transmisibles,Casos,1,0,1,0,0,0,1
849309944,2026-07-31,vih_diagnostico,3.3.7,"Número de personas con VIH/ITS que recibieron diagnóstico, incluidas pruebas rápidas",Personas,50,38,12,0,0,0,1
849309944,2026-07-31,vih_examenes,3.3.8,Número de personas con VIH/ITS que recibieron exámenes de laboratorio de seguimiento,Personas,1,0,1,0,0,0,1
838163768,2026-08-01,smaps_autoayuda,3.1.1,Número de personas con servicios de autoayuda y apoyo en la comunidad,Personas,1,0,1,0,0,0,1
838163768,2026-08-01,smaps_pap,3.1.2,Número de personas alcanzadas con primeros auxilios psicológicos,Personas,1,0,1,0,0,0,1
838163768,2026-08-01,smaps_intervenciones,3.1.3,Número de personas alcanzadas con intervenciones psicológicas,Personas,1,0,1,0,0,0,1
838163768,2026-08-01,nt_diagnostico,3.2.1,Número de personas con enfermedades no transmisibles que recibieron diagnóstico,Personas,147,103,44,0,0,0,1
838163768,2026-08-01,nt_tratamiento,3.2.2,Número de personas con enfermedades no transmisibles que recibieron tratamiento,Personas,149,101,48,0,0,0,1
838163768,2026-08-01,trans_diagnostico,3.3.1,Número de personas con enfermedades transmisibles que recibieron diagnóstico,Personas,31,23,8,0,0,0,1
838163768,2026-08-01,trans_gestion_casos,3.3.5,Número de personas con enfermedades transmisibles en gestión de casos,Personas,1,1,0,0,0,0,1
838163768,2026-08-01,trans_derivados,3.3.6,Número de casos derivados por enfermedades transmisibles,Casos,1,1,0,0,0,0,1
838163768,2026-08-01,vih_diagnostico,3.3.7,"Número de personas con VIH/ITS que recibieron diagnóstico, incluidas pruebas rápidas",Personas,1,1,0,0,0,0,1
838163768,2026-08-01,vih_examenes,3.3.8,Número de personas con VIH/ITS que recibieron exámenes de laboratorio de seguimiento,Personas,1,1,0,0,0,0,1
831436576,2026-08-03,inmun_talento_humano,3.8.3,Número de personas del talento humano apoyadas en inmunización,Profesionales,345,44,301,0,0,0,1
831450273,2026-08-03,inmun_personas_vacunadas,3.8.1,Número de personas vacunadas a partir del apoyo de las organizaciones al Estado,Personas,50,2,42,0,6,0,1
831453022,2026-08-03,smaps_intervenciones,3.1.3,Número de personas alcanzadas con intervenciones psicológicas,Personas,5,1,4,0,0,0,1
831453022,2026-08-03,inmun_personas_vacunadas,3.8.1,Número de personas vacunadas a partir del apoyo de las organizaciones al Estado,Personas,108,21,83,4,0,13,1
831455330,2026-08-03,inmun_personas_vacunadas,3.8.1,Número de personas vacunadas a partir del apoyo de las organizaciones al Estado,Personas,28,0,27,0,1,0,1
831458843,2026-08-03,inmun_personas_vacunadas,3.8.1,Número de personas vacunadas a partir del apoyo de las organizaciones al Estado,Personas,501,156,261,10,74,0,1
831459788,2026-08-03,inmun_personas_vacunadas,3.8.1,Número de personas vacunadas a partir del apoyo de las organizaciones al Estado,Personas,118,35,72,5,6,0,1
831460710,2026-08-03,inmun_personas_vacunadas,3.8.1,Número de personas vacunadas a partir del apoyo de las organizaciones al Estado,Personas,20,4,15,0,1,0,1
831462112,2026-08-03,inmun_personas_vacunadas,3.8.1,Número de personas vacunadas a partir del apoyo de las organizaciones al Estado,Personas,32,13,19,0,0,0,1
831463699,2026-08-03,inmun_personas_vacunadas,3.8.1,Número de personas vacunadas a partir del apoyo de las organizaciones al Estado,Personas,64,8,54,1,1,0,1
831464596,2026-08-03,inmun_personas_vacunadas,3.8.1,Número de personas vacunadas a partir del apoyo de las organizaciones al Estado,Personas,11,2,9,0,0,0,1
831465517,2026-08-03,inmun_personas_vacunadas,3.8.1,Número de personas vacunadas a partir del apoyo de las organizaciones al Estado,Personas,121,9,100,3,9,0,1
831466464,2026-08-03,inmun_personas_vacunadas,3.8.1,Número de personas vacunadas a partir del apoyo de las organizaciones al Estado,Personas,3,2,1,0,0,0,1
831467231,2026-08-03,inmun_personas_vacunadas,3.8.1,Número de personas vacunadas a partir del apoyo de las organizaciones al Estado,Personas,5,0,0,2,3,0,1
831468145,2026-08-03,inmun_personas_vacunadas,3.8.1,Número de personas vacunadas a partir del apoyo de las organizaciones al Estado,Personas,66,3,54,2,7,0,1
831468943,2026-08-03,inmun_personas_vacunadas,3.8.1,Número de personas vacunadas a partir del apoyo de las organizaciones al Estado,Personas,10,5,4,1,0,0,1
831470328,2026-08-03,inmun_personas_vacunadas,3.8.1,Número de personas vacunadas a partir del apoyo de las organizaciones al Estado,Personas,140,34,98,3,5,0,1
831471580,2026-08-03,inmun_personas_vacunadas,3.8.1,Número de personas vacunadas a partir del apoyo de las organizaciones al Estado,Personas,20,2,13,0,5,0,1
831472318,2026-08-03,inmun_personas_vacunadas,3.8.1,Número de personas vacunadas a partir del apoyo de las organizaciones al Estado,Personas,142,35,105,1,1,0,1
831472776,2026-08-03,inmun_personas_vacunadas,3.8.1,Número de personas vacunadas a partir del apoyo de las organizaciones al Estado,Personas,27,5,22,0,0,0,1
